
2025-02-23T14:48:44Z,vm01,etcd-vm01,26.78,18.27,26194779.73,4781494964554.90
2025-02-23T14:48:44Z,vm01,kube-apiserver-vm01,75.39,171.43,133216880.41,32478769544178.00
2025-02-23T14:48:44Z,vm01,kube-scheduler-vm01,4.67,0.72,15062790.57,10549247301216.34
2025-02-23T14:48:44Z,vm01,kube-controller-manager-vm01,15.31,6.69,33905707.61,75592430144456.72
2025-02-23T14:48:44Z,vm01,calico-node-f4d6r,24.49,18.79,74095775.29,32576146808002.69
2025-02-23T14:48:44Z,vm01,coredns-55cb58b774-7gl2q,3.80,0.54,13211427.73,19336205256434.63
2025-02-23T14:48:44Z,vm01,coredns-55cb58b774-99n6w,4.39,0.81,13436159.96,18326266746679.35
2025-02-23T14:48:44Z,vm01,kube-proxy-9q5mf,0.96,0.03,14226861.53,19891456783171.85
2025-02-23T14:48:44Z,vm02,calico-kube-controllers-98944db45-gskfx,27.77,0.78,5080361.76,277278887439.68
2025-02-23T14:48:44Z,vm02,kube-proxy-pn8bq,7.09,0.05,21844397.54,13429262288.17
2025-02-23T14:48:44Z,vm02,calico-node-x7rgq,135.83,18.64,42289676.58,2622203965324.87
2025-02-23T14:48:44Z,vm03,kube-proxy-g9rgw,9.38,0.09,20422610.99,559664640.39
2025-02-23T14:48:44Z,vm03,prometheus-deployment-5dc88c6b94-bjg2k,249.27,63.12,280529285.05,260510346535921.97
2025-02-23T14:48:44Z,vm03,calico-node-nxv9d,140.41,18.46,47361825.39,1869357924568.80
2025-02-23T14:48:44Z,vm01,kube-scheduler-vm01,4.67,0.72,15062790.57,10549247301216.34
2025-02-23T14:48:44Z,vm01,kube-controller-manager-vm01,15.31,6.69,33905707.61,75592430144456.72
2025-02-23T14:48:44Z,vm01,coredns-55cb58b774-99n6w,4.39,0.81,13436159.96,18326266746679.35
2025-02-23T14:48:44Z,vm01,kube-proxy-9q5mf,0.96,0.03,14226861.53,19891456783171.85
2025-02-23T14:48:44Z,vm01,calico-node-f4d6r,24.49,18.79,74095775.29,32576146808002.69
2025-02-23T14:48:44Z,vm01,coredns-55cb58b774-7gl2q,3.81,0.53,13212882.95,19354815957142.78
2025-02-23T14:48:44Z,vm01,etcd-vm01,26.78,18.27,26194779.73,4781494964554.90
2025-02-23T14:48:44Z,vm01,kube-apiserver-vm01,75.39,171.43,133216874.48,32478769552338.31
2025-02-23T14:48:44Z,vm02,kube-proxy-pn8bq,7.09,0.05,21844397.54,13429262288.17
2025-02-23T14:48:44Z,vm02,calico-node-x7rgq,135.83,18.64,42289676.58,2622203965324.87
2025-02-23T14:48:44Z,vm02,calico-kube-controllers-98944db45-gskfx,27.77,0.78,5080361.76,277278887439.68
2025-02-23T14:48:44Z,vm03,prometheus-deployment-5dc88c6b94-bjg2k,249.27,63.12,280529285.05,260510346535921.97
2025-02-23T14:48:44Z,vm03,calico-node-nxv9d,140.41,18.46,47361825.39,1869357924568.80
2025-02-23T14:48:44Z,vm03,kube-proxy-g9rgw,9.38,0.09,20422610.99,559664640.39
2025-02-23T16:07:41Z,vm01,kube-controller-manager-vm01,31.03,21.14,31326856.87,2551199284.85
2025-02-23T16:07:41Z,vm01,coredns-55cb58b774-7gl2q,8.68,1.46,10094842.78,36357778900.43
2025-02-23T16:07:41Z,vm01,etcd-vm01,53.42,62.02,24498470.48,1360398721239.22
2025-02-23T16:07:41Z,vm01,kube-scheduler-vm01,9.19,1.75,15175342.19,4172629788.83
2025-02-23T16:07:41Z,vm01,coredns-55cb58b774-99n6w,9.57,2.06,10723248.47,171771027.65
2025-02-23T16:07:41Z,vm01,kube-proxy-9q5mf,2.49,0.14,13366696.93,12191765056.04
2025-02-23T16:07:41Z,vm01,calico-node-f4d6r,51.64,54.36,63609528.89,6449033064.30
2025-02-23T16:07:41Z,vm01,kube-apiserver-vm01,156.07,524.39,129253603.56,2819545910234.08
2025-02-23T16:07:41Z,vm02,calico-node-x7rgq,166.51,14.22,42299019.64,846521922853.69
2025-02-23T16:07:41Z,vm02,kube-proxy-pn8bq,8.64,0.04,21847108.27,33162963.63
2025-02-23T16:07:41Z,vm02,prometheus-operator-controller-manager-69c6b4b449-t4qrl,1.13,0.32,4042522.19,415506780.26
2025-02-23T16:07:41Z,vm02,calico-kube-controllers-98944db45-gskfx,34.43,0.81,5146453.33,15076640.82
2025-02-23T16:07:42Z,vm03,prometheus-deployment-5dc88c6b94-bjg2k,307.39,51.50,282639937.90,188486449853756.97
2025-02-23T16:07:42Z,vm03,kube-proxy-g9rgw,11.63,0.10,20157483.93,2613919.09
2025-02-23T16:07:42Z,vm03,calico-node-nxv9d,174.04,16.23,47303407.62,740273330.00
